Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
1;-83,99735925879577;-83,99566684212641;43889;LF;1;0,0016924166693570442
2;-83,97970325884035;-83,97801484217098;43889;LF;1;0,0016884166693671432
3;-83,96205125888491;-83,96035884221556;43888;LF;1;0,0016924166693570442
4;-83,94439525892949;-83,94270684226012;43888;LF;1;0,0016884166693671432
5;-83,92674325897406;-83,9250508423047;43888;LF;1;0,0016924166693570442
6;-83,90908725901863;-83,90739884234927;43888;LF;1;0,0016884166693671432
7;-83,8914352590632;-83,88974284239384;43888;LF;1;0,0016924166693570442
8;-83,87377925910778;-83,87209084243841;43888;LF;1;0,0016884166693671432
9;-83,85612725915234;-83,85443484248299;43888;LF;1;0,0016924166693570442
10;-83,83847125919692;-83,83678284252755;43888;LF;1;0,0016884166693671432
11;-83,82081925924149;-83,81913084257212;43888;LF;1;0,0016884166693671432
12;-83,80316725928606;-83,8014748426167;43889;LF;1;0,0016924166693570442
13;-83,78551125933063;-83,78382284266127;43888;LF;1;0,0016884166693671432
14;-83,7678592593752;-83,76616684270584;43889;LF;1;0,0016924166693570442
15;-83,75020325941978;-83,74851484275041;43889;LF;1;0,0016884166693671432
16;-83,73255125946434;-83,73085884279499;43889;LF;1;0,0016924166693570442
17;-83,71489525950892;-83,71320684283955;43888;LF;1;0,0016884166693671432
18;-83,69724325955349;-83,69555084288413;43889;LF;1;0,0016924166693570442
19;-83,67958725959807;-83,6778988429287;43888;LF;1;0,0016884166693671432
20;-83,66193525964263;-83,66024284297328;43889;LF;1;0,0016924166693570442
21;-83,64427925968721;-83,64259084301784;43889;LF;1;0,0016884166693671432
22;-83,62662725973178;-83,62493484306242;43888;LF;1;0,0016924166693570442
23;-83,60897125977635;-83,60728284310699;43889;LF;1;0,0016884166693671432
24;-83,59131925982092;-83,58962684315156;43888;LF;1;0,0016924166693570442
25;-83,5736632598655;-83,57197484319613;43889;LF;1;0,0016884166693671432
26;-83,55601125991006;-83,55431884324071;43889;LF;1;0,0016924166693570442
27;-83,53835525995464;-83,53666684328527;43889;LF;1;0,0016884166693671432
28;-83,52070325999921;-83,51901084332985;43888;LF;1;0,0016924166693570442
29;-83,50304726004379;-83,50135884337442;43889;LF;1;0,0016884166693671432
30;-83,48539526008835;-83,483702843419;43889;LF;1;0,0016924166693570442
31;-83,46773926013293;-83,46605084346356;43889;LF;1;0,0016884166693671432
32;-83,4500872601775;-83,44839884350813;43888;LF;1;0,0016884166693671432
33;-83,43243526022206;-83,43074284355271;43889;LF;1;0,0016924166693570442
34;-83,41477926026664;-83,41309084359727;43889;LF;1;0,0016884166693671432
35;-83,39712726031121;-83,39543484364185;43889;LF;1;0,0016924166693570442
36;-83,37947126035579;-83,37778284368642;43889;LF;1;0,0016884166693671432
37;-83,36181926040035;-83,360126843731;43888;LF;1;0,0016924166693570442
38;-83,34416326044493;-83,34247484377556;43888;LF;1;0,0016884166693671432
39;-83,3265112604895;-83,32481884382014;43889;LF;1;0,0016924166693570442
40;-83,30885526053407;-83,3071668438647;43889;LF;1;0,0016884166693671432
41;-83,29120326057864;-83,28951084390928;43888;LF;1;0,0016924166693570442
