"Reference","Qty","Value","Part number","Manufacturer","Description"
"C1,C2,C3,C5,C11,C12","6","100n","06033C104K4T4A","Kyocera AVX","C 100n 10% 25V X7R 0603 06033C104K4T4A AVX"
"C4","1","22u","TAJC226K010TNJ","Kyocera AVX","C 22u 10% 10V TANTALUM ESR=1.8R 2312 TAJC226K010TNJ AVX"
"C6,C7,C8,C9,C13,C14,C15,C16","8","2.2n","GCM1885C1J222JA16D","Murata","C 2.2n 5% 63V C0G/NP0 0603 GCM1885C1J222JA16D Murata"
"D1,D6,D7,D8","4","BAS40-04","BAS40-04","Infineon","Dual Schottky Diode"
"D2,D3,D4,D5","4","LS_T670","LS_T670","OSRAM","SMD LED PLCC2 SUPER RED"
"FB1","1","74279204","74279204","Würth","FB 600OHM 1500MA 0.35OHM 0805 74279204 Würth"
"FB2,FB3","2","BLM18AG102BH1D","BLM18AG102BH1D","Murata","FB 1000OHM 450MA 0.5OHM 0603 BLM18AG102BH1D Murata"
"FW1","1","FW_SILKSCREEN","HEX file","","FW revision"
"J1","1","TTL-232R-5V_6P_CONNECTOR_THT_HEADER","826631-6","TE Connectivity","TTL-232R-5V 6P Connector THT header"
"J2","1","PICKIT3_6P_CONNECTOR_THT_HEADER","826648-6","TE Connectivity","PICKIT3 6P Connector THT header"
"PCB1","1","PCB_SILKSCREEN","260302","AISLER","PCB part number / revision Silkscreen"
"R1","1","10K","MCT06030C1002FP500","Vishay","R 10K 1% 50ppm/K 0603 R_MCT06030C1002FP500 Vishay"
"R2","1","100R","CRCW0603100RFKEAC","Vishay","R 100R 1% 100ppm/K 0603 CRCW0603100RFKEAC Vishay"
"R3,R5,R6,R7,R8,R9,R10,R12","8","1.2K","MCT06030C1201FP500","Vishay","R 1.2K 1% 50ppm/K 0603 MCT06030C1201FP500 Vishay"
"U1","1","TLE42662GSV33HTMA2","TLE42662GSV33HTMA2","Infineon","3.3V, Low drop voltage regulator, 150 mA current capability, Very low current consumption, Low-drop voltage, Overtemperature protection, Reverse polarity proof"
"U2","1","PIC16F1764-I/SL","PIC16F1764-I/SL","Microchip","PIC16F1764, 4096W FLASH, 512B SRAM, SOIC-14"
"U3,U4","2","TS5A3159QDBVRQ1","TS5A3159QDBVRQ1","Texas Instruments","Single SPDT Analog Switch, 1.65-V to 5.5-V Single-Supply Operation, 1Ohm Ron, SOT-23-6"
"Y1","1","O 16,0-JO32-B-1V3-1-T1-LF","O 16,0-JO32-B-1V3-1-T1-LF","Jauch","16 MHz Oscillator JO32, 1.8V - 3.3V, SMD Oscillator with Stop Function, +/- 50 ppm, -40 °C - +85 °C, 3.2 x 2.5 mm, Seam sealed ceramic/metal package"
