Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
1;-20,994590814710932;-20,992614398042292;-00001;LF;1;0,001976416668640013
2;-20,962506814791936;-20,960816398122574;00000;LF;1;0,0016904166693620937
3;-20,93070881487222;-20,929018398202857;00001;LF;1;0,0016904166693620937
4;-20,89896281495237;-20,89698639828373;-00001;LF;1;0,001976416668640013
5;-20,86687981503337;-20,86518939836401;00000;LF;1;0,0016904166693620937
6;-20,835133815113522;-20,833157398444882;-00001;LF;1;0,001976416668640013
7;-20,803049815194527;-20,801359398525165;00000;LF;1;0,0016904166693620937
8;-20,77125181527481;-20,769561398605447;00000;LF;1;0,0016904166693620937
9;-20,739506815354957;-20,737530398686317;-00001;LF;1;0,001976416668640013
10;-20,70742281543596;-20,7057323987666;00000;LF;1;0,0016904166693620937
11;-20,675676815516113;-20,673700398847473;-00001;LF;1;0,001976416668640013
12;-20,643592815597117;-20,641902398927755;00000;LF;1;0,0016904166693620937
13;-20,611846815677268;-20,609870399008628;-00001;LF;1;0,001976416668640013
14;-20,57976381575827;-20,578073399088908;00000;LF;1;0,0016904166693620937
15;-20,547965815838552;-20,54627539916919;00000;LF;1;0,0016904166693620937
16;-20,516219815918703;-20,514243399250063;-00001;LF;1;0,001976416668640013
17;-20,484135815999707;-20,482445399330345;00001;LF;1;0,0016904166693620937
18;-20,452390816079856;-20,450414399411216;-00001;LF;1;0,001976416668640013
19;-20,42030681616086;-20,418616399491498;00000;LF;1;0,0016904166693620937
20;-20,38856081624101;-20,38658439957237;-00001;LF;1;0,001976416668640013
21;-20,356476816322015;-20,354786399652653;00000;LF;1;0,0016904166693620937
22;-20,324730816402166;-20,322754399733526;-00001;LF;1;0,001976416668640013
23;-20,292647816483168;-20,290957399813806;00001;LF;1;0,0016904166693620937
24;-20,26090181656332;-20,25892539989468;-00001;LF;1;0,001976416668640013
25;-20,228817816644323;-20,22712739997496;00000;LF;1;0,0016904166693620937
26;-20,197019816724605;-20,195329400055243;00000;LF;1;0,0016904166693620937
27;-20,165274816804754;-20,163298400136114;-00001;LF;1;0,001976416668640013
28;-20,133190816885758;-20,131500400216396;00001;LF;1;0,0016904166693620937
29;-20,10144481696591;-20,09946840029727;-00001;LF;1;0,001976416668640013
30;-20,069360817046913;-20,06767040037755;00000;LF;1;0,0016904166693620937
31;-20,03761581712706;-20,03563940045842;-00001;LF;1;0,001976416668640013
32;-20,005531817208066;-20,003841400538704;00001;LF;1;0,0016904166693620937
33;-19,973785817288217;-19,971809400619577;-00001;LF;1;0,001976416668640013
34;-19,94170181736922;-19,94001140069986;00001;LF;1;0,0016904166693620937
35;-19,909955817449372;-19,907979400780732;-00001;LF;1;0,001976416668640013
36;-19,877872817530374;-19,876182400861012;00001;LF;1;0,0016904166693620937
37;-19,846126817610525;-19,844150400941885;-00001;LF;1;0,001976416668640013
38;-19,81404281769153;-19,812352401022167;00001;LF;1;0,0016904166693620937
39;-19,78229681777168;-19,78032040110304;-00001;LF;1;0,001976416668640013
40;-19,750213817852682;-19,74852340118332;00001;LF;1;0,0016904166693620937
41;-19,718467817932833;-19,716491401264193;-00001;LF;1;0,001976416668640013
42;-19,686383818013837;-19,684693401344475;00001;LF;1;0,0016904166693620937
43;-19,65463781809399;-19,65266140142535;-00001;LF;1;0,001976416668640013
44;-19,622553818174993;-19,62086340150563;00001;LF;1;0,0016904166693620937
45;-19,59080881825514;-19,5888324015865;-00001;LF;1;0,001976416668640013
46;-19,558724818336145;-19,557034401666783;00001;LF;1;0,0016904166693620937
47;-19,526978818416296;-19,525002401747656;-00001;LF;1;0,001976416668640013
48;-19,4948948184973;-19,49320440182794;00001;LF;1;0,0016904166693620937
49;-19,46314981857745;-19,46117340190881;-00001;LF;1;0,001976416668640013
50;-19,431065818658453;-19,42937540198909;00001;LF;1;0,0016904166693620937
51;-19,399319818738604;-19,397343402069964;-00001;LF;1;0,001976416668640013
52;-19,36723581881961;-19,365545402150246;00001;LF;1;0,0016904166693620937
53;-19,335490818899757;-19,333514402231117;-00001;LF;1;0,001976416668640013
54;-19,30340681898076;-19,3017164023114;00000;LF;1;0,0016904166693620937
55;-19,271660819060912;-19,269684402392272;-00001;LF;1;0,001976416668640013
56;-19,239576819141917;-19,237886402472554;00001;LF;1;0,0016904166693620937
57;-19,207830819222067;-19,205854402553427;-00001;LF;1;0,001976416668640013
58;-19,17574781930307;-19,174057402633707;00001;LF;1;0,0016904166693620937
59;-19,14400181938322;-19,14202540271458;-00001;LF;1;0,001976416668640013
60;-19,111917819464225;-19,110227402794862;00001;LF;1;0,0016904166693620937
61;-19,080171819544375;-19,078195402875735;-00001;LF;1;0,001976416668640013
62;-19,048088819625377;-19,046398402956015;00001;LF;1;0,0016904166693620937
63;-19,016342819705528;-19,014366403036888;-00001;LF;1;0,001976416668640013
64;-18,984258819786533;-18,98256840311717;00001;LF;1;0,0016904166693620937
65;-18,952512819866683;-18,950536403198043;-00001;LF;1;0,001976416668640013
66;-18,920428819947688;-18,918738403278326;00001;LF;1;0,0016904166693620937
67;-18,888683820027836;-18,886707403359196;-00001;LF;1;0,001976416668640013
68;-18,85659982010884;-18,85490940343948;00000;LF;1;0,0016904166693620937
69;-18,824801820189123;-18,82311140351976;00000;LF;1;0,0016904166693620937
70;-18,793055820269274;-18,791079403600634;-00001;LF;1;0,001976416668640013
71;-18,760972820350275;-18,759282403680913;00001;LF;1;0,0016904166693620937
72;-18,729226820430426;-18,727250403761786;-00001;LF;1;0,001976416668640013
73;-18,69714282051143;-18,69545240384207;00001;LF;1;0,0016904166693620937
74;-18,66539682059158;-18,66342040392294;-00001;LF;1;0,001976416668640013
75;-18,633313820672583;-18,63162340400322;00001;LF;1;0,0016904166693620937
76;-18,601567820752734;-18,599591404084094;-00001;LF;1;0,001976416668640013
77;-18,56948382083374;-18,567793404164377;00001;LF;1;0,0016904166693620937
